Olus_Zamani,Enlem,Boylam,Derinlik_km,Buyukluk,Yer
2025.04.23 23:31:47,40.8185,28.1513,  9.8 ,1.9 ,MARMARA DENIZI
2025.04.23 23:32:35,40.8628,28.3638, 11.6 ,2.2 ,MARMARA DENIZI
2025.04.23 23:47:21,40.8480,28.3208,  5.2 ,1.6 ,MARMARA DENIZI
2025.04.23 23:57:54,40.8590,28.3857, 13.5 ,1.8 ,MARMARA DENIZI
2025.04.24 00:00:15,40.8570,28.2945, 13.6 ,4.1 ,MARMARA DENIZI
2025.04.24 00:17:40,40.8475,28.2765, 13.0 ,2.9 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 00:25:30,40.8443,28.2197, 11.5 ,1.6 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 00:29:14,40.8573,28.3108, 14.1 ,2.8 ,MARMARA DENIZI
2025.04.24 00:38:05,40.8480,28.4107, 12.5 ,2.5 ,MARMARA DENIZI
2025.04.24 00:41:25,40.8225,28.1663,  2.7 ,1.6 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 00:42:03,40.8587,28.4055,  5.0 ,1.5 ,MARMARA DENIZI
2025.04.24 01:02:24,40.8233,28.1505, 11.8 ,1.9 ,MARMARA DENIZI
2025.04.24 01:17:32,40.8813,28.4288, 14.5 ,2.1 ,MARMARA DENIZI
2025.04.24 01:31:46,40.8900,28.4317, 14.1 ,1.7 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 01:32:25,40.8590,28.3628, 13.6 ,1.6 ,MARMARA DENIZI
2025.04.24 01:33:19,40.8393,28.3607, 13.2 ,1.8 ,MARMARA DENIZI
2025.04.24 01:36:02,40.8673,28.3797, 13.3 ,1.5 ,MARMARA DENIZI
2025.04.24 01:41:07,40.8508,28.3897, 14.0 ,2.2 ,MARMARA DENIZI
2025.04.24 01:52:52,40.8717,28.2722, 14.9 ,2.1 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
